,degree,strength,betweenness,closeness,eigenvector,katz,pagerank,hub,authority,clustering,kcore
ACE.NS,252,75.60864229406717,0.0,0.21991554565613705,0.06227722705876152,0.06601186298790382,0.003257829196056974,0.003637057478255032,0.0036370574782550297,0.2591941553883259,158
ADANIENT.NS,178,53.60165073236304,0.00011981787682722261,0.20274676026924457,0.04770301518782071,0.04832057043454189,0.0023750190586870864,0.0027859077277232074,0.0027859077277232074,0.2967598118689096,155
ADANIGREEN.NS,134,38.97240795082805,0.0,0.18880171561491563,0.03707799224948167,0.03757064734218416,0.0018022310112680686,0.0021653948860378375,0.0021653948860378366,0.32485072584546026,131
ADANIPORTS.NS,265,87.98518991293773,0.0034420408252183953,0.23671156251757952,0.0717767938862964,0.06779231737024945,0.003808707743368918,0.004191842464710334,0.0041918424647103365,0.2642058284951447,158
ADANIPOWER.NS,156,45.949926064847126,1.0892534257020238e-05,0.19506507929265984,0.042783472378614254,0.04382011470779577,0.002064507603955286,0.0024986011020293984,0.002498601102029398,0.3166890712461322,148
ATGL.NS,108,31.978845805800358,0.00016338801385530356,0.184253573281573,0.030794968764982212,0.02889221015774633,0.0016843711281317748,0.001798459512875041,0.0017984595128750407,0.3332030038179747,107
ABCAPITAL.NS,323,109.19491591665182,0.0046293270592336015,0.26180077731822415,0.08211456404830066,0.07532517002481466,0.004821892566198722,0.0047955794332931395,0.004795579433293141,0.22341048334433994,158
ABFRL.NS,3,0.7383651853590074,0.0,0.1366335079211049,0.0006320662906495233,-0.006453446633244237,0.0004104961378240611,3.691335561537914e-05,3.691335561537914e-05,0.11950395388031855,3
ABREL.NS,269,80.92680825076069,7.624773979914167e-05,0.22650610708780106,0.06514728871426705,0.06849342529488049,0.0035139842975188875,0.003804672185913093,0.0038046721859130955,0.24501757708830482,158
ABSLAMC.NS,278,82.97867196896807,0.0005010565758229309,0.22824037701374283,0.06545671296662559,0.06962893641989391,0.0036635012894189168,0.0038227428972171214,0.003822742897217119,0.23533353568146478,158
AFFLE.NS,269,78.5616529921854,0.000686229658192275,0.22171981211193623,0.06173859349948143,0.06772071351724847,0.0034969519115441066,0.003605600695296944,0.003605600695296947,0.23546987029376787,158
AJANTPHARM.NS,6,1.5564454276782205,0.0,0.1272916222731104,0.00037762117937574263,-0.006786921259404013,0.00045382563517080054,2.205348566820639e-05,2.2053485668206396e-05,0.23159817584655648,6
AKZOINDIA.NS,23,5.628262635783265,0.0,0.1477398684251352,0.004785475491666581,-0.00018098986674732034,0.0005699204260285026,0.0002794769492153142,0.0002794769492153143,0.2615711171935266,23
APLLTD.NS,32,8.015355113566029,0.0,0.15607038883308214,0.006598718242131587,0.002257609600083262,0.0007128500078182731,0.0003853722887629138,0.00038537228876291374,0.24897830214805464,31
ALKEM.NS,47,12.698153766544207,0.00010892534257020238,0.15358128418927292,0.008147214883943458,0.0037350902727262066,0.0010742518307255353,0.0004758061689650718,0.0004758061689650718,0.21866697674835953,39
ALKYLAMINE.NS,175,47.47294148066934,3.267760277106071e-05,0.19341198530547082,0.03967107528440482,0.04519225093112612,0.0022261350120532744,0.002316833742411527,0.0023168337424115293,0.25777012033170255,150
